sonnet_number,sonnet_length,sonnet_type
1,598,A
2,615,A
3,593,A
4,570,A
5,605,A
6,597,A
7,566,A
8,629,A
9,604,A
10,604,A
11,663,A
12,609,A
13,589,A
14,575,A
15,601,A
16,584,A
17,629,B
18,608,B
19,614,A
20,631,A
21,598,C
22,579,C
23,605,A
24,626,A
25,571,C
26,586,A
27,577,D
28,615,E
29,619,E
30,599,E
31,585,E
32,615,E
33,599,E
34,619,E
35,572,E
36,583,D
37,569,E
38,602,F
39,600,D
40,620,E
41,592,E
42,612,E
43,628,E
44,613,E
45,581,E
46,593,E
47,612,D
48,588,E
49,591,D
50,587,D
51,610,D
52,588,E
53,565,E
54,607,F
55,603,E
56,606,E
57,596,D
58,592,E
59,573,E
60,603,F
61,586,E
62,557,L
63,595,F
64,585,E
65,611,F
66,552,E
67,578,E
68,560,E
69,650,E
70,593,E
71,582,E
72,584,E
73,623,E
74,577,E
75,578,E
76,562,E
77,607,E
78,562,E
79,580,E
80,581,E
81,612,G
82,595,E
83,591,E
84,598,E
85,623,E
86,589,E
87,614,E
88,580,E
89,594,E
90,594,E
91,616,E
92,568,E
93,615,E
94,600,E
95,602,E
96,612,E
97,594,H
98,601,E
99,649,H
100,605,I
101,576,E
102,623,E
103,575,E
104,622,E
105,576,E
106,583,E
107,617,E
108,598,E
109,578,E
110,592,E
111,580,E
112,583,E
113,593,H
114,594,E
115,622,E
116,566,E
117,583,E
118,588,E
119,598,E
120,596,E
121,600,E
122,551,E
123,582,J
124,602,E
125,572,E
126,528,E
127,596,K
128,603,K
129,575,K
130,593,K
131,596,K
132,576,K
133,611,K
134,575,K
135,579,K
136,603,K
137,623,K
138,601,K
139,614,K
140,600,K
141,601,K
142,597,K
143,609,K
144,557,K
145,492,K
146,588,K
147,581,K
148,611,K
149,561,K
150,591,K
151,591,K
152,615,K
153,593,K
154,582,K
